学校コード,学校種,都道府県番号,学校名
D101210100013,D1(高校),01(北海道),北海道札幌西高等学校
D101210100022,D1(高校),01(北海道),北海道札幌南高等学校
D101210100031,D1(高校),01(北海道),市立札幌旭丘高等学校
D101210100040,D1(高校),01(北海道),市立札幌大通高等学校
D101210200012,D1(高校),01(北海道),北海道札幌北高等学校
D101210200021,D1(高校),01(北海道),北海道札幌工業高等学校
D101210200030,D1(高校),01(北海道),北海道札幌北陵高等学校
D101210200049,D1(高校),01(北海道),北海道札幌英藍高等学校
D101210200058,D1(高校),01(北海道),北海道札幌国際情報高等学校
D101210200067,D1(高校),01(北海道),北海道有朋高等学校
D101210200076,D1(高校),01(北海道),市立札幌新川高等学校
D101210300011,D1(高校),01(北海道),北海道札幌丘珠高等学校
D101210300020,D1(高校),01(北海道),北海道札幌東陵高等学校
D101210300039,D1(高校),01(北海道),北海道札幌東豊高等学校
D101210400010,D1(高校),01(北海道),北海道札幌東高等学校
D101210400029,D1(高校),01(北海道),北海道札幌白石高等学校
D101210400038,D1(高校),01(北海道),北海道札幌白陵高等学校
D101210500019,D1(高校),01(北海道),北海道札幌月寒高等学校
D101210500028,D1(高校),01(北海道),市立札幌平岸高等学校
D101210600018,D1(高校),01(北海道),北海道札幌南陵高等学校
D101210600027,D1(高校),01(北海道),市立札幌啓北商業高等学校
D101210600036,D1(高校),01(北海道),市立札幌藻岩高等学校
D101210700017,D1(高校),01(北海道),北海道札幌西陵高等学校
D101210700026,D1(高校),01(北海道),北海道札幌琴似工業高等学校
D101210800016,D1(高校),01(北海道),北海道札幌啓成高等学校
D101210800025,D1(高校),01(北海道),北海道札幌東商業高等学校
D101210800034,D1(高校),01(北海道),北海道札幌厚別高等学校
D101210900015,D1(高校),01(北海道),北海道札幌手稲高等学校
D101210900024,D1(高校),01(北海道),北海道札幌あすかぜ高等学校
D101210900033,D1(高校),01(北海道),北海道札幌稲雲高等学校
D101211000012,D1(高校),01(北海道),北海道札幌真栄高等学校
D101211000021,D1(高校),01(北海道),北海道札幌平岡高等学校
D101211000030,D1(高校),01(北海道),市立札幌清田高等学校
D101220200011,D1(高校),01(北海道),北海道函館中部高等学校
D101220200020,D1(高校),01(北海道),北海道函館西高等学校
D101220200039,D1(高校),01(北海道),北海道函館商業高等学校
D101220200048,D1(高校),01(北海道),北海道函館工業高等学校
D101220200057,D1(高校),01(北海道),北海道南茅部高等学校
D101220200066,D1(高校),01(北海道),北海道函館稜北高等学校
D101220200075,D1(高校),01(北海道),市立函館高等学校
D101220300010,D1(高校),01(北海道),北海道小樽潮陵高等学校
D101220300029,D1(高校),01(北海道),北海道小樽桜陽高等学校
D101220300038,D1(高校),01(北海道),北海道小樽未来創造高等学校
D101220300047,D1(高校),01(北海道),北海道小樽水産高等学校
D101220400019,D1(高校),01(北海道),北海道旭川東高等学校
D101220400028,D1(高校),01(北海道),北海道旭川西高等学校
D101220400037,D1(高校),01(北海道),北海道旭川北高等学校
D101220400046,D1(高校),01(北海道),北海道旭川商業高等学校
D101220400055,D1(高校),01(北海道),北海道旭川工業高等学校
D101220400064,D1(高校),01(北海道),北海道旭川農業高等学校
D101220400073,D1(高校),01(北海道),北海道旭川南高等学校
D101220400082,D1(高校),01(北海道),北海道旭川永嶺高等学校
D101220500018,D1(高校),01(北海道),北海道室蘭栄高等学校
D101220500027,D1(高校),01(北海道),北海道室蘭清水丘高等学校
D101220500036,D1(高校),01(北海道),北海道室蘭工業高等学校
D101220500045,D1(高校),01(北海道),北海道室蘭東翔高等学校
D101220600017,D1(高校),01(北海道),北海道釧路湖陵高等学校
D101220600026,D1(高校),01(北海道),北海道釧路江南高等学校
D101220600035,D1(高校),01(北海道),北海道釧路商業高等学校
D101220600044,D1(高校),01(北海道),北海道釧路工業高等学校
D101220600053,D1(高校),01(北海道),北海道阿寒高等学校
D101220600062,D1(高校),01(北海道),北海道釧路北陽高等学校
D101220600071,D1(高校),01(北海道),北海道釧路明輝高等学校
D101220700016,D1(高校),01(北海道),北海道帯広柏葉高等学校
D101220700025,D1(高校),01(北海道),北海道帯広三条高等学校
D101220700034,D1(高校),01(北海道),北海道帯広工業高等学校
D101220700043,D1(高校),01(北海道),北海道帯広農業高等学校
D101220700052,D1(高校),01(北海道),北海道帯広南商業高等学校
D101220700061,D1(高校),01(北海道),北海道帯広緑陽高等学校
D101220800015,D1(高校),01(北海道),北海道北見北斗高等学校
D101220800024,D1(高校),01(北海道),北海道北見柏陽高等学校
D101220800033,D1(高校),01(北海道),北海道北見工業高等学校
D101220800042,D1(高校),01(北海道),北海道留辺蘂高等学校
D101220800051,D1(高校),01(北海道),北海道常呂高等学校
D101220800060,D1(高校),01(北海道),北海道北見商業高等学校
D101220800079,D1(高校),01(北海道),北海道北見緑陵高等学校
D101220900014,D1(高校),01(北海道),北海道夕張高等学校
D101221000011,D1(高校),01(北海道),北海道岩見沢東高等学校
D101221000020,D1(高校),01(北海道),北海道岩見沢西高等学校
D101221000039,D1(高校),01(北海道),北海道岩見沢農業高等学校
D101221000048,D1(高校),01(北海道),北海道岩見沢緑陵高等学校
D101221100010,D1(高校),01(北海道),北海道網走南ケ丘高等学校
D101221100029,D1(高校),01(北海道),北海道網走桂陽高等学校
D101221200019,D1(高校),01(北海道),北海道留萌高等学校
D101221300018,D1(高校),01(北海道),北海道苫小牧東高等学校
D101221300027,D1(高校),01(北海道),北海道苫小牧西高等学校
D101221300036,D1(高校),01(北海道),北海道苫小牧工業高等学校
D101221300045,D1(高校),01(北海道),北海道苫小牧南高等学校
D101221300054,D1(高校),01(北海道),北海道苫小牧総合経済高等学校
D101221400017,D1(高校),01(北海道),北海道稚内高等学校
D101221500016,D1(高校),01(北海道),北海道美唄聖華高等学校
D101221500025,D1(高校),01(北海道),北海道美唄尚栄高等学校
D101221600015,D1(高校),01(北海道),北海道芦別高等学校
D101221700014,D1(高校),01(北海道),北海道江別高等学校
D101221700023,D1(高校),01(北海道),北海道野幌高等学校
D101221700032,D1(高校),01(北海道),北海道大麻高等学校
D101221900012,D1(高校),01(北海道),北海道紋別高等学校
D101222000019,D1(高校),01(北海道),北海道士別東高等学校
D101222000028,D1(高校),01(北海道),北海道士別翔雲高等学校
D101222100018,D1(高校),01(北海道),北海道名寄高等学校
D101222100027,D1(高校),01(北海道),北海道名寄産業高等学校
D101222200017,D1(高校),01(北海道),北海道三笠高等学校
D101222300016,D1(高校),01(北海道),北海道根室高等学校
D101222400015,D1(高校),01(北海道),北海道千歳高等学校
D101222400024,D1(高校),01(北海道),北海道千歳北陽高等学校
D101222500014,D1(高校),01(北海道),北海道滝川高等学校
D101222500023,D1(高校),01(北海道),北海道滝川工業高等学校
D101222500032,D1(高校),01(北海道),北海道滝川西高等学校
D101222600013,D1(高校),01(北海道),北海道砂川高等学校
D101222800011,D1(高校),01(北海道),北海道深川西高等学校
D101222800020,D1(高校),01(北海道),北海道深川東高等学校
D101222900010,D1(高校),01(北海道),北海道富良野高等学校
D101222900029,D1(高校),01(北海道),北海道富良野緑峰高等学校
D101222900038,D1(高校),01(北海道),北海道富良野高等学校
D101223000017,D1(高校),01(北海道),北海道登別青嶺高等学校
D101223100016,D1(高校),01(北海道),北海道恵庭南高等学校
D101223100025,D1(高校),01(北海道),北海道恵庭北高等学校
D101223300014,D1(高校),01(北海道),北海道伊達高等学校
D101223300023,D1(高校),01(北海道),北海道伊達緑丘高等学校
D101223300032,D1(高校),01(北海道),北海道伊達開来高等学校
D101223400013,D1(高校),01(北海道),北海道北広島高等学校
D101223400022,D1(高校),01(北海道),北海道北広島西高等学校
D101223500012,D1(高校),01(北海道),北海道石狩翔陽高等学校
D101223500021,D1(高校),01(北海道),北海道石狩南高等学校
D101223600011,D1(高校),01(北海道),北海道函館水産高等学校
D101223600020,D1(高校),01(北海道),北海道大野農業高等学校
D101223600039,D1(高校),01(北海道),北海道上磯高等学校
D101230300019,D1(高校),01(北海道),北海道当別高等学校
D101233100015,D1(高校),01(北海道),北海道松前高等学校
D101233200014,D1(高校),01(北海道),北海道福島商業高等学校
D101233300013,D1(高校),01(北海道),北海道知内高等学校
D101233700019,D1(高校),01(北海道),北海道七飯高等学校
D101234500019,D1(高校),01(北海道),北海道森高等学校
D101234600018,D1(高校),01(北海道),北海道八雲高等学校
D101234700017,D1(高校),01(北海道),北海道長万部高等学校
D101236100018,D1(高校),01(北海道),北海道江差高等学校
D101236200017,D1(高校),01(北海道),北海道上ノ国高等学校
D101236700012,D1(高校),01(北海道),北海道奥尻高等学校
D101237100016,D1(高校),01(北海道),北海道檜山北高等学校
D101239200011,D1(高校),01(北海道),北海道寿都高等学校
D101239400019,D1(高校),01(北海道),北海道蘭越高等学校
D101239500018,D1(高校),01(北海道),北海道ニセコ高等学校
D101239600017,D1(高校),01(北海道),北海道真狩高等学校
D101239700016,D1(高校),01(北海道),北海道留寿都高等学校
D101240000011,D1(高校),01(北海道),北海道倶知安高等学校
D101240000020,D1(高校),01(北海道),北海道倶知安農業高等学校
D101240200019,D1(高校),01(北海道),北海道岩内高等学校
D101240800013,D1(高校),01(北海道),北海道余市紅志高等学校
D101242300014,D1(高校),01(北海道),北海道南幌高等学校
D101242400013,D1(高校),01(北海道),北海道奈井江商業高等学校
D101242800019,D1(高校),01(北海道),北海道長沼高等学校
D101242900018,D1(高校),01(北海道),北海道栗山高等学校
D101243000015,D1(高校),01(北海道),北海道月形高等学校
D101243200013,D1(高校),01(北海道),北海道新十津川農業高等学校
D101245200018,D1(高校),01(北海道),北海道鷹栖高等学校
D101245700013,D1(高校),01(北海道),北海道上川高等学校
D101245800012,D1(高校),01(北海道),北海道東川高等学校
D101245900011,D1(高校),01(北海道),北海道美瑛高等学校
D101246000018,D1(高校),01(北海道),北海道上富良野高等学校
D101246200016,D1(高校),01(北海道),北海道南富良野高等学校
D101246500013,D1(高校),01(北海道),北海道剣淵高等学校
D101246800010,D1(高校),01(北海道),北海道下川商業高等学校
D101246900019,D1(高校),01(北海道),北海道美深高等学校
D101247000016,D1(高校),01(北海道),北海道おといねっぷ美術工芸高等学校
D101247200014,D1(高校),01(北海道),北海道幌加内高等学校
D101248300011,D1(高校),01(北海道),北海道苫前商業高等学校
D101248400010,D1(高校),01(北海道),北海道羽幌高等学校
D101248400029,D1(高校),01(北海道),北海道天売高等学校
D101248600018,D1(高校),01(北海道),北海道遠別農業高等学校
D101248700017,D1(高校),01(北海道),北海道天塩高等学校
D101251200016,D1(高校),01(北海道),北海道浜頓別高等学校
D101251400014,D1(高校),01(北海道),北海道枝幸高等学校
