問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号,ヒント1,ヒント2,解説
He slept ___ last night.,quietly,quiet,quietness,sleep,1,sleep は目的語をとらない自動詞。後ろに置けるのは様子を表す語が多い。,動作（眠る）を説明する語を選ぶ。,sleep の後ろに目的語を置くと不自然。『どのように眠ったか』を表す副詞 quietly が適切。
The baby cried ___.,loudly,loud,loudness,cry,1,cry は自動詞。『何を』ではなく『どう』が続きやすい。,副詞は動詞を修飾する。,cried（泣いた）を修飾するのは副詞。loudly『大声で』が自然。
We arrived ___ at the station.,early,earliness,early,arrive,1,arrive は自動詞で目的語をとらない。,時間を表して動詞を説明する語を選ぶ。,arrived の後ろは『いつ到着したか』を表す語が合う。副詞 early が正解。
She ran ___ in the park.,fast,fast,fastness,run,1,run はここでは自動詞。走る動作の様子を表す語が続く。,動作の速さを表す品詞を選ぶ。,ran を修飾するのは副詞。fast『速く』が自然。
They stayed ___ after school.,outside,outside,outsider,stay,1,stay は自動詞で『どこにいたか』を表す語が続く。,場所を表し、動詞を説明できる語を選ぶ。,stayed の後ろは場所の情報。outside を副詞（場所副詞）として使うと『外に』で自然。
My father works ___ every day.,hard,hard,hardness,work,1,work はここでは自動詞。後ろは働き方を表す語が合う。,動詞を修飾できる品詞を選ぶ。,works を説明するのは副詞 hard『一生懸命に』。
The train left ___.,suddenly,sudden,suddenness,leave,1,leave（出発する）はここでは目的語なしで使われる。,『どんなふうに出発したか』を表す語を選ぶ。,left を修飾する副詞 suddenly『突然』が適切。
I laughed ___ at his joke.,happily,happy,happiness,laugh,1,laugh は自動詞で目的語をとらない。,感情を表して動詞を説明する語を選ぶ。,laughed の様子を表す副詞 happily『楽しそうに』が自然。
The dog jumped ___.,high,high,height,jump,1,jump は自動詞。後ろは跳び方の情報が続くことが多い。,動詞を修飾する語を選ぶ。,jumped を説明する副詞 high『高く』が適切。
She smiled ___ when she saw me.,warmly,warm,warmth,smile,1,smile は自動詞。後ろは『どんなふうに』が続く。,動作の様子＝副詞を選ぶ。,smiled を修飾する副詞 warmly『温かく（にこやかに）』が自然。
He became ___ yesterday.,happy,happiness,happily,become,1,become の後ろは主語を説明する語（補語）が来る。,『彼はどうなった？』に答える語を選ぶ。,became の後ろは状態を表す形容詞が自然。happy が補語として主語 He を説明。
She is ___ now.,a student,study,studious,studiously,1,be動詞の後ろは『主語＝？』となる語（補語）。,主語を言い換えられる語を選ぶ。,is の後ろは主語 She を説明する名詞句が来る。a student が適切。
The soup smells ___.,good,well,goodness,smell,1,smell はここでは『〜のにおいがする』の連結動詞。,感覚を表す動詞の後ろは形容詞がよく来る。,smells は状態を述べるので形容詞 good が自然（『いいにおいがする』）。
They looked ___ after the long trip.,tired,tire,tiredly,tiredness,1,look（〜に見える）は主語の状態を説明する。,『彼らはどんなふうに見えた？』に答える語を選ぶ。,looked の後ろは形容詞。tired が補語となり They を説明。
The sky turned ___ in the evening.,red,redden,redness,reddishly,1,turn（〜になる）は主語の変化を表す連結動詞。,色などの状態を表す語＝形容詞が来やすい。,turned の後ろは状態（色）を表す形容詞 red が自然。
He felt ___ during the test.,nervous,nervously,nerve,feel,1,feel（〜に感じる）は主語の状態を述べることが多い。,『彼はどんな気持ち？』に答える語を選ぶ。,felt の後ろは形容詞 nervous が補語となり He の状態を説明。
My brother seems ___ these days.,busy,busily,business,seem,1,seem の後ろは主語を説明する語（補語）。,状態を表す語を選ぶ。,seems の後ろは形容詞 busy が自然。
